pred_number_1,pred_number_2,pred_number_3,pred_number_4,pred_number_5,pred_number_6
12,18,30,31,34,38
10,12,18,23,38,42
10,12,18,30,31,42
10,12,18,30,33,38
10,12,18,30,33,42
10,12,18,30,34,38
10,12,18,30,34,42
10,12,18,31,33,38
10,12,18,31,33,42
10,12,18,31,34,38
10,12,18,31,34,42
10,12,18,33,34,38
10,12,18,33,34,42
10,12,23,30,31,38
10,12,23,30,31,42
10,12,23,30,33,34
10,12,23,30,33,38
10,12,23,30,34,38
10,12,23,31,33,34
10,12,23,31,33,38
10,12,23,31,34,38
10,18,23,30,31,33
10,18,23,30,31,34
10,18,23,30,33,34
10,18,23,31,33,34
12,18,23,30,31,33
12,18,23,30,31,34
